frame,x-center-rec,y-center-rec,width-rec,height-rec
0.0,1154.760006422522,678.5099563865117,245.00205345397262,467.48418456230183
1.0,537.0130482509095,355.57729746905284,152.50644683387668,381.26317604000013
2.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
3.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
4.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
5.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
6.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
7.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
8.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
9.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
10.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
11.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
12.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
13.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
14.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
15.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
16.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
17.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
18.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
19.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
20.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
21.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
22.0,749.675435825,1070.1602653,286.59476938,381.26317603999996
